"geneid"	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"577"	113452	1400	661	1730	99	198	45
"578"	127544	1270	163	2025	5594	3749	3788
"579"	100505584	928	2594	345	36	43	75
"580"	204	1638	679	924	2713	3024	3372
"581"	113451	1860	279	2443	830	1533	782
"582"	55223	1033	272	777	1629	1326	1434
"583"	149076	2258	905	3144	8886	8325	8737
"584"	1912	4594	1193	4863	6959	9135	12410
"585"	7579	122	34	231	833	819	560
"586"	114784	986	148	2112	19433	10882	7157
"587"	127540	0	0	0	6	3	5
"588"	84970	17	0	22	57	47	77
"589"	693137	0	0	0	0	0	0
"590"	2709	100	6	81	14	17	20
"591"	127534	5	0	3	13	2	0
"592"	2707	40	14	80	18	11	4
"593"	2701	149	410	131	443	221	219
"594"	113444	2867	573	3330	1999	1508	1787
"595"	58512	5964	1014	18299	2704	976	1451
"596"	100506144	252	123	110	127	120	179
"597"	9204	1653	309	844	2862	1931	2683
"598"	79830	387	112	130	2331	1681	2336
"599"	100506168	7312	2034	4263	32091	35924	46857
"600"	6421	6583	1775	7656	40151	36724	39165
"601"	9202	3451	826	3309	14235	11676	12809
"602"	79932	5391	1216	6449	4921	3933	5483
"603"	23154	57537	5539	86924	24549	13369	15947
"604"	339488	438	84	621	562	510	960
"605"	5690	2024	426	1918	3101	2577	2878
"606"	127703	10651	715	11229	17088	10829	10844
"607"	63967	113	18	178	249	1263	935
"608"	192670	796	245	836	14034	8456	8967
"609"	26523	1912	736	3192	7541	10393	8206
"610"	192669	196	77	247	1388	1603	1023
"611"	27285	76	44	57	1509	1354	1516
"612"	54936	1393	314	1365	2838	2545	2912
"613"	1296	58	29	59	164	49	63
"614"	27095	1683	512	1599	2890	2159	2362
"615"	55700	16469	1722	23382	15825	13435	15936
"616"	9967	5488	1619	6119	17321	14962	16841
"617"	79729	342	41	863	686	953	425
"618"	55194	264	184	504	342	463	204
"619"	83931	2119	787	4010	5901	5263	4406
"620"	100506594	2	0	5	9	9	7
"621"	84967	1215	449	1430	1280	850	776
"622"	127700	566	121	618	530	344	403
"623"	64960	1016	340	611	827	612	777
"624"	1441	248	5	136	41	102	91
"625"	2899	4412	348	6370	32111	22390	25405
"626"	100422898	0	0	0	0	0	0
"627"	728431	80	34	63	6	13	8
"628"	80149	47	53	38	22	16	12
"629"	64769	5050	899	3108	11040	6508	9230
"630"	79753	707	134	887	2540	2115	2581
"631"	7802	537	437	574	2187	1698	2763
"632"	29889	1255	234	874	2380	2092	2772
"633"	284654	30	0	8	2	1	11
"634"	54955	990	200	886	1580	1430	1482
"635"	55143	80	20	67	157	787	699
"636"	284656	2143	252	3001	3097	1546	1693
"637"	149175	1859	337	2573	5521	4987	5239
"638"	79693	672	187	500	1753	1435	1710
"639"	127687	2442	1686	2108	1275	937	1283
"640"	4520	1254	405	1427	3841	3082	3128
"641"	3633	1352	490	1040	1325	1447	1762
